"Organisation","Country","Category","Partner Tier","Why relevant","What we ask","What we offer","Ideal decision-maker (title)","Partnership type","Priority /10","Opening approach","Strategic value","Source / note"
"Born in Bradford (Bradford Institute for Health Research)","UK","Cohort study","4 Data","Diverse birth cohort; deprived population","Methods and linkage advice; site interest","Digital continuity for a new sub-cohort","Director; Head of Data","Research","7","Email","Data; diversity",""
"Clevermed (BadgerNet Maternity)","UK","Maternity record vendor","2 Technology","Dominant UK maternity record; MEOWS built in","Interface specification; partner status","Complementary home-monitoring; joint customers","Head of Partnerships / Product Director","Interface partnership","8","Approach after first trust LOI, through the trust's CCIO","Interoperability",""
"K2 Medical Systems","UK","Maternity systems vendor","2 Technology","Athena record and Guardian CTG; large installed base","Interface","Complementary product","Commercial Director; Product lead","Interface partnership","7","Same as Clevermed","Interoperability",""
"Magentus (Euroking)","UK","Maternity record vendor","2 Technology","Maternity record in many trusts","Interface","Complementary product","Partnerships lead","Interface partnership","6","Same","Interoperability",""
"Healthy.io","UK/Israel","Digital diagnostics","2 Technology","CE-marked smartphone urinalysis","API access; per-test pricing; maternity pathway","Maternity channel; case study","UK General Manager; Head of Partnerships","Commercial/integration","8","Email with pathway description","Urine protein at home",""
"Omron Healthcare UK","UK/Japan","Device maker","2 Technology","Validated BP monitors; medical channel","SDK; loan devices; pricing","Maternity channel; evidence","Medical Channel Manager UK; Head of Digital Health","Supply/integration","8","Call medical channel team","Validated input",""
"Withings","France","Device maker","2 Technology","Connected validated BP cuffs; B2B health programme","SDK; devices","Maternity use case","Head of B2B Health / Withings Health Solutions","Supply/integration","7","Email B2B team","Validated input",""
"A&D Medical (UK)","UK/Japan","Device maker","2 Technology","Validated BP monitors","Devices; pricing","Channel","UK Sales Manager (medical)","Supply","5","Email","Alternative device",""
"Bupa (UK)","UK","Insurer/provider","6 Strategic","Maternity benefits; private hospitals; international network","Exploratory pilot of postpartum continuity as a benefit","Evidence; product","Head of Health Innovation / Clinical Director for Women's Health","Pilot → commercial","7","Via Bupa innovation team; after UK evidence","Private payer; global",""
"AXA Health (UK)","UK","Insurer","6 Strategic","Health insurance; digital health partnerships","Pilot conversation","Continuity benefit","Head of Propositions / Partnerships","Pilot","5","Email","Payer",""
"Microsoft UK (Health & Life Sciences) / Microsoft for Startups","UK/US","Technology","2 Technology","Cloud credits; health data compliance; speech services","Credits; architecture review; speech language support","Reference case","Startup programme manager; Health industry lead","Credits/partnership","6","Apply to start-up programme; then industry lead","Infrastructure",""
"Amazon Web Services (AWS Activate / Healthcare)","UK/US","Technology","2 Technology","Credits; UK region; healthcare compliance","Credits; solution architect time","Reference","Startup account manager; Healthcare BD","Credits","6","Apply","Infrastructure",""
"Google Cloud for Startups / Google Health","UK/US","Technology","2 Technology","Credits; speech and translation in African languages","Credits; language support","Case study","Startup programme; Health partnerships","Credits","5","Apply","Voice/language",""
"Vodafone Business (UK) / Vodacom (Africa)","UK/Africa","Telecom","6 Strategic","Connectivity; zero-rating; IoT SIMs; African footprint","Zero-rated maternity messaging; IoT SIMs for devices","Programme scale","Head of Health, Vodafone Business; Vodacom health lead","Commercial","6","Email health vertical lead","Distribution; low-resource",""
"Philips (Netherlands)","Netherlands","Medtech","6 Strategic","Maternal and fetal monitoring; virtual care platforms","Interoperability; potential co-development later","Continuity layer for their monitoring","Head of Partnerships, Hospital Patient Monitoring / Venture lead","Strategic (year 3)","5","After UK evidence; via Philips Ventures","Distribution",""
"Erasmus MC (Rotterdam) — Obstetrics","Netherlands","Academic hospital","3 Clinical","Leading European obstetric research","EU evaluation partner (year 3)","Data; evaluation","Head of Obstetrics research","Research","4","Later","EU entry",""
"Karolinska Institutet (Stockholm)","Sweden","University","4 Data","Registry-based perinatal research","Methods; Nordic entry","Data collaboration","Professor of Obstetrics/Epidemiology","Research","4","Later","Evidence",""
"Nina Capital","Spain","Health-tech VC","7 Funding","Pre-seed/seed health-tech; EU network","Investment conversation (seed)","Deal","Managing Partner / GP","Investment","7","Via warm intro after LOI","Capital",""
"Heal Capital","Germany","Digital-health VC","7 Funding","European digital health","Seed conversation","Deal","Partner","Investment","5","Warm intro","Capital",""
"EIT Health","EU","Innovation network","7 Funding","EU health innovation programmes (UK eligibility TO VALIDATE)","Programme participation","Case","Programme manager UK/Ireland","Programme","4","Apply if eligible","Network",""
"March of Dimes","US","Foundation / NGO","6 Strategic","Maternal and infant health; innovation fund","US partner conversations (year 3)","Evidence; platform","Chief Innovation Officer / Innovation Fund lead","Strategic","4","Later","US entry",""
"Babyscripts","US","Competitor / benchmark","5 Commercial","Leading US prenatal remote monitoring","Benchmark; possible UK/Africa partnership","Non-US markets","CEO / Head of Partnerships","Benchmark → partnership","4","Later, from strength","Learning; option",""
"Mayo Clinic Platform","US","Health system platform","6 Strategic","Validation and platform programmes for health AI","Validation programme (year 3)","Data model","Platform partnerships lead","Strategic","3","Later","US credibility",""
"Rock Health","US","Fund / research","7 Funding","Digital-health seed and research","Seed conversation (US expansion)","Deal","Partner","Investment","4","Later","Capital",""
"Maven Clinic","US","Virtual women's health","5 Commercial","Largest virtual women's-health company; employer/payer channel","Partnership for continuity in non-US markets","Platform","Head of Partnerships / International","Commercial","3","Later","Payer channel",""
"mDoc Healthcare (Nigeria)","Nigeria","Digital-health company (incumbent in Ekiti/Lagos)","5 Commercial","Runs Digital Mom with MSD for Mothers; incumbent in target states","Complementarity partnership: continuity record and facility-side coordination beneath their programme","Interoperability; facility workflow; evidence","Founder & CEO; Head of Partnerships","MoU / partnership","8","Founder-to-founder email proposing complementarity, not competition","Turns a competitor into a channel",""
"Society for Family Health (Nigeria)","Nigeria","NGO implementer","1 Foundational","Large Nigerian health NGO; maternal programmes; donor contracts","Cohort of 500–2,000 women; community health workers","Free platform; training; evaluation","Managing Director; Director of Programmes (RMNCH)","MoU + evaluation","8","Email programme director","Second market",""
"Jhpiego (Nigeria/Global)","Nigeria/US","NGO implementer","1 Foundational","Maternal health implementation at scale; donor programmes","Technology-partner role in a funded programme","Continuity layer; evaluation","Country Director Nigeria; Director of Digital Health","MoU / sub-contract","8","Email country office","Programme access",""
"Lagos State Ministry of Health / Lagos State PHC Board","Nigeria","State government","5 Commercial","Largest state; existing digital maternal programmes (mDoc)","Complementarity pilot with an implementer","Continuity record; equity data","Commissioner for Health; Permanent Secretary; PHC Board ES","MoU","6","Via implementer, never cold","Scale",""
"Ekiti State Ministry of Health","Nigeria","State government","5 Commercial","Prior conversation (March 2026); incumbent programme present","Re-scoped complementarity pilot","Phased evidence pilot","Commissioner for Health; Programme Manager for maternal health","MoU","6","Reply with the re-scoped proposal","Existing relationship","See FACTS_BASE"
"NPHCDA (National Primary Health Care Development Agency)","Nigeria","National agency","6 Strategic","Primary health care; BHCPF financing","Awareness; alignment","Continuity layer for PHCs","Director of Community Health Services; Digital Health lead","Engagement","5","Via implementer","National alignment",""
"SOGON (Society of Gynaecology and Obstetrics of Nigeria)","Nigeria","Professional body","3 Clinical","Clinical legitimacy in Nigeria","Clinical review; champions","Alignment","President; Secretary General","Engagement","6","Email; conference","Legitimacy",""
"MTN Nigeria","Nigeria","Telecom","6 Strategic","Largest operator; mobile health programmes; zero-rating","Zero-rated messaging; USSD short code","Programme scale; CSR","Head of Digital Services / CSR (MTN Foundation)","Commercial/CSR","6","Email foundation and digital services","Distribution",""
"Airtel Africa","Nigeria/pan-Africa","Telecom","6 Strategic","Pan-African footprint","Messaging; USSD","Scale","Head of Mobile Health / Partnerships","Commercial","5","Email","Distribution",""
"Safaricom (Kenya)","Kenya","Telecom","6 Strategic","M-PESA; health platforms; Kenya entry","Messaging; payments; distribution","Kenya programme","Head of Health, Safaricom / M-PESA partnerships","Commercial","5","Later","Kenya entry",""
"Jacaranda Health (Kenya)","Kenya","NGO / digital maternal health","5 Commercial","PROMPTS SMS maternal platform at scale","Learning exchange; possible interoperability","Continuity record for facility side","CEO; Director of Technology","Partnership","5","Founder email","Kenya; learning",""
"Praekelt.org (MomConnect, South Africa)","South Africa","NGO / digital health","5 Commercial","National maternal messaging platform","Learning; interoperability","Record layer","CEO; Head of Health","Partnership","4","Email","Learning",""
"PATH","Global","Global health NGO","6 Strategic","Digital health and maternal programmes; DHIS2 ecosystem","Digital-health advisory; programme partnership","Evidence","Director of Digital Health / Country Director Nigeria","Partnership","5","Email","Programme access",""
"UNICEF Nigeria (Health) / UNICEF Innovation","Nigeria/Global","UN agency","6 Strategic","Maternal and newborn programmes; innovation fund","Programme alignment; innovation fund application","Continuity tools","Chief of Health; Innovation Fund manager","Programme/funding","5","Apply; programme contact via implementer","Scale; funding",""
"Bill & Melinda Gates Foundation (Maternal, Newborn & Child Health)","US/Global","Foundation","7 Funding","Largest maternal-health funder; Nigeria focus","Grant for low-resource validation (via partner)","Evidence; cohort","Program Officer, MNCH / Digital Health","Grant (via implementer)","6","Via implementer or Grand Challenges routes","Funding; credibility",""
"MSD for Mothers","US/Global","Corporate initiative","7 Funding","Funds maternal programmes incl. mDoc; UK and Nigeria activity","Programme funding; introductions","Continuity layer for funded programmes","Director, MSD for Mothers (UK/Africa lead)","Grant/programme","7","Email with complementarity to mDoc","Funding; credibility",""
"Grand Challenges Canada","Canada/Global","Funder","7 Funding","Seed and transition-to-scale funding for global-health innovations","Application when call opens","Evidence plan","Program lead, Global Health","Grant","7","Apply","Funding",""
"Fondation Botnar","Switzerland","Foundation","7 Funding","Digital health for young people incl. maternal","Programme funding","Evidence","Programme Manager","Grant","5","Apply","Funding",""
"Children's Investment Fund Foundation (CIFF)","UK/Global","Foundation","7 Funding","Maternal and child health at scale","Programme funding via partners","Evidence","Director, Maternal & Child Health","Grant (via partner)","4","Via implementer","Funding",""
"Roche Diagnostics (UK / Global)","UK/Switzerland","Diagnostics","6 Strategic","sFlt-1/PlGF pre-eclampsia testing recommended in NICE NG133","Pathway alignment; later co-development of a home-monitoring-to-test pathway","Pathway data; adherence","Medical Affairs Lead, Women's Health; Head of Market Access UK","Co-development (year 2)","7","Medical affairs email after first LOI","Pathway credibility; commercial",""
"Ferring Pharmaceuticals","Switzerland/UK","Pharma","6 Strategic","Postpartum haemorrhage and reproductive medicine","Programme partnership (postpartum)","RWE","Medical Affairs, Women's Health","Strategic (year 2–3)","4","Later","Postpartum",""
"Organon","US/UK","Pharma (women's health)","6 Strategic","Women's-health company; contraception and maternal health interest","Postpartum programme; RWE","Cohort access under governance","Head of Medical Affairs UK; Partnerships","Strategic (year 2–3)","4","Later","Women's health",""
