"Organisation","Country","Category","Partner Tier","Decision Maker","Job Title","LinkedIn","Email","Phone","Relationship Status","Priority","Strategic Value","What We Want","What We Offer","Last Contact","Next Action","Meeting Date","Partnership Stage","Probability","Potential Value (£)","Notes","Source","Owner","NDA Status","Instrument","Consent to contact (basis)"
"UCLH + UCL Institute for Women's Health","UK","NHS trust + university","3 Clinical","NOT YET IDENTIFIED (title known)","Institute Director; Professor of Maternal and Fetal Medicine","","","","Cold","7","","Research partner","Data; co-authorship","","Approach institute innovation lead","","RESEARCHED","10%","","","","Founder","None","Research","Legitimate interest (B2B professional role) — TO VALIDATE"
"Health Innovation Oxford & Thames Valley","UK","Health Innovation Network","5 Commercial","NOT YET IDENTIFIED (title known)","Innovation Exchange Lead / Programme Manager (Maternity or Patient Safety)","","","","Cold","10","","Introductions to trusts; navigation support","A well-governed evaluation for their portfolio","","Email with intended-use statement and evaluation concept; ask for the two-trust question","","RESEARCHED","10%","","","","Founder","None","Support agreement","Legitimate interest (B2B professional role) — TO VALIDATE"
"Health Innovation Network South London","UK","Health Innovation Network","5 Commercial","NOT YET IDENTIFIED (title known)","Head of Innovation / Maternity Programme Lead","","","","Cold","9","","Introductions","Equity-focused evaluation","","Same as above","","RESEARCHED","10%","","","","Founder","None","Support","Legitimate interest (B2B professional role) — TO VALIDATE"
"Health Innovation Manchester","UK","Health Innovation Network","5 Commercial","NOT YET IDENTIFIED (title known)","Director of Innovation; Maternity lead","","","","Cold","8","","Introductions; ICB route","Evaluation; equity","","Email","","RESEARCHED","10%","","","","Founder","None","Support","Legitimate interest (B2B professional role) — TO VALIDATE"
"Health Innovation West Midlands","UK","Health Innovation Network","5 Commercial","NOT YET IDENTIFIED (title known)","Innovation Exchange lead","","","","Cold","8","","Introductions","Equity design","","Email","","RESEARCHED","10%","","","","Founder","None","Support","Legitimate interest (B2B professional role) — TO VALIDATE"
"NHS England — Maternity and Neonatal Programme (national MEWS)","UK","National body","6 Strategic","NOT YET IDENTIFIED (title known)","Head of Maternity Transformation / National Clinical Lead for Maternity Safety","","","","Cold","8","","Alignment guidance; awareness","Continuity layer aligned to MEWS; equity data","","Via HIN or NPEU introduction; never cold","","RESEARCHED","10%","","","Do not claim endorsement","Founder","None","Engagement","Legitimate interest (B2B professional role) — TO VALIDATE"
"NHS Race and Health Observatory","UK","National body","6 Strategic","NOT YET IDENTIFIED (title known)","Director of Research / Head of Maternal Health workstream","","","","Cold","8","","Review of equity design; visibility","Data on reach and response by ethnicity","","Email proposing an equity-indicator review","","RESEARCHED","10%","","","","Founder","None","Engagement / research","Legitimate interest (B2B professional role) — TO VALIDATE"
"Royal College of Obstetricians and Gynaecologists (RCOG)","UK","Professional body","3 Clinical","NOT YET IDENTIFIED (title known)","Director of Clinical Quality; Digital/Innovation lead","","","","Cold","6","","Process review; events","Alignment to guidance","","Approach via clinician partners","","RESEARCHED","10%","","","No endorsement claims","Founder","None","Engagement","Legitimate interest (B2B professional role) — TO VALIDATE"
"Royal College of Midwives (RCM)","UK","Professional body","3 Clinical","NOT YET IDENTIFIED (title known)","Director for Professional Midwifery; Digital lead","","","","Cold","7","","Midwifery workflow review; training content","Training modules","","Email proposing a workflow review","","RESEARCHED","10%","","","","Founder","None","Engagement","Legitimate interest (B2B professional role) — TO VALIDATE"
"Tommy's","UK","Charity / research","1 Foundational","NOT YET IDENTIFIED (title known)","Head of Research; Director of Research and Policy","","","","Cold","9","","Review evaluation design; clinical champion introductions; community input","Data sharing under governance; co-branded information content","","Email to Head of Research with the evaluation concept","","RESEARCHED","10%","","","","Founder","None","Research/community partnership","Legitimate interest (B2B professional role) — TO VALIDATE"
"Five X More","UK","Community organisation","1 Foundational","NOT YET IDENTIFIED (title known)","Co-founders","","","","Cold","9","","Equity design co-creation; community panel","Paid advisory role; transparent equity reporting","","LinkedIn note then call; offer paid involvement","","RESEARCHED","10%","","","Public campaign founders","Founder","None","Community partnership","Legitimate interest (B2B professional role) — TO VALIDATE"
"Birthrights","UK","Charity","3 Clinical","NOT YET IDENTIFIED (title known)","Chief Executive; Head of Policy","","","","Cold","7","","Consent and rights review","Paid review; co-design","","Email","","RESEARCHED","10%","","","","Founder","None","Advisory","Legitimate interest (B2B professional role) — TO VALIDATE"
"Wellbeing of Women","UK","Charity / funder","7 Funding","NOT YET IDENTIFIED (title known)","Director of Research","","","","Cold","6","","Research funding; endorsement of study design","Study proposal","","Apply when call opens","","RESEARCHED","10%","","","","Founder","None","Grant","Legitimate interest (B2B professional role) — TO VALIDATE"
"Maternal Mental Health Alliance","UK","Charity network","3 Clinical","NOT YET IDENTIFIED (title known)","Chief Executive; Policy lead","","","","Cold","7","","Postpartum module design","Routing to services; data","","Email","","RESEARCHED","10%","","","","Founder","None","Advisory","Legitimate interest (B2B professional role) — TO VALIDATE"
"Sands","UK","Charity","3 Clinical","NOT YET IDENTIFIED (title known)","Head of Research and Prevention","","","","Cold","5","","Safety and sensitivity review","Content review","","Email","","RESEARCHED","10%","","","","Founder","None","Advisory","Legitimate interest (B2B professional role) — TO VALIDATE"
"PRSB (Professional Record Standards Body)","UK","Standards body","2 Technology","NOT YET IDENTIFIED (title known)","Clinical Director; Programme lead","","","","Cold","6","","Standards alignment; minimum dataset","Implementation feedback","","Email","","RESEARCHED","10%","","","","Founder","None","Engagement","Legitimate interest (B2B professional role) — TO VALIDATE"
"Health Data Research UK (HDR UK)","UK","Data institute","4 Data","NOT YET IDENTIFIED (title known)","Director of Infrastructure / Perinatal data lead","","","","Cold","6","","Cohort governance advice; TRE partnership","New perinatal dataset","","Email","","RESEARCHED","10%","","","","Founder","None","Research","Legitimate interest (B2B professional role) — TO VALIDATE"
"Born in Bradford (Bradford Institute for Health Research)","UK","Cohort study","4 Data","NOT YET IDENTIFIED (title known)","Director; Head of Data","","","","Cold","7","","Methods and linkage advice; site interest","Digital continuity for a new sub-cohort","","Email","","RESEARCHED","10%","","","","Founder","None","Research","Legitimate interest (B2B professional role) — TO VALIDATE"
"Clevermed (BadgerNet Maternity)","UK","Maternity record vendor","2 Technology","NOT YET IDENTIFIED (title known)","Head of Partnerships / Product Director","","","","Cold","8","","Interface specification; partner status","Complementary home-monitoring; joint customers","","Approach after first trust LOI, through the trust's CCIO","","RESEARCHED","10%","","","","Founder","None","Interface partnership","Legitimate interest (B2B professional role) — TO VALIDATE"
"K2 Medical Systems","UK","Maternity systems vendor","2 Technology","NOT YET IDENTIFIED (title known)","Commercial Director; Product lead","","","","Cold","7","","Interface","Complementary product","","Same as Clevermed","","RESEARCHED","10%","","","","Founder","None","Interface partnership","Legitimate interest (B2B professional role) — TO VALIDATE"
"Magentus (Euroking)","UK","Maternity record vendor","2 Technology","NOT YET IDENTIFIED (title known)","Partnerships lead","","","","Cold","6","","Interface","Complementary product","","Same","","RESEARCHED","10%","","","","Founder","None","Interface partnership","Legitimate interest (B2B professional role) — TO VALIDATE"
"Healthy.io","UK/Israel","Digital diagnostics","2 Technology","NOT YET IDENTIFIED (title known)","UK General Manager; Head of Partnerships","","","","Cold","8","","API access; per-test pricing; maternity pathway","Maternity channel; case study","","Email with pathway description","","RESEARCHED","10%","","","","Founder","None","Commercial/integration","Legitimate interest (B2B professional role) — TO VALIDATE"
"Omron Healthcare UK","UK/Japan","Device maker","2 Technology","NOT YET IDENTIFIED (title known)","Medical Channel Manager UK; Head of Digital Health","","","","Cold","8","","SDK; loan devices; pricing","Maternity channel; evidence","","Call medical channel team","","RESEARCHED","10%","","","","Founder","None","Supply/integration","Legitimate interest (B2B professional role) — TO VALIDATE"
"Withings","France","Device maker","2 Technology","NOT YET IDENTIFIED (title known)","Head of B2B Health / Withings Health Solutions","","","","Cold","7","","SDK; devices","Maternity use case","","Email B2B team","","RESEARCHED","10%","","","","Founder","None","Supply/integration","Legitimate interest (B2B professional role) — TO VALIDATE"
"A&D Medical (UK)","UK/Japan","Device maker","2 Technology","NOT YET IDENTIFIED (title known)","UK Sales Manager (medical)","","","","Cold","5","","Devices; pricing","Channel","","Email","","RESEARCHED","10%","","","","Founder","None","Supply","Legitimate interest (B2B professional role) — TO VALIDATE"
"Bupa (UK)","UK","Insurer/provider","6 Strategic","NOT YET IDENTIFIED (title known)","Head of Health Innovation / Clinical Director for Women's Health","","","","Cold","7","","Exploratory pilot of postpartum continuity as a benefit","Evidence; product","","Via Bupa innovation team; after UK evidence","","RESEARCHED","10%","","","","Founder","None","Pilot → commercial","Legitimate interest (B2B professional role) — TO VALIDATE"
"AXA Health (UK)","UK","Insurer","6 Strategic","NOT YET IDENTIFIED (title known)","Head of Propositions / Partnerships","","","","Cold","5","","Pilot conversation","Continuity benefit","","Email","","RESEARCHED","10%","","","","Founder","None","Pilot","Legitimate interest (B2B professional role) — TO VALIDATE"
"Microsoft UK (Health & Life Sciences) / Microsoft for Startups","UK/US","Technology","2 Technology","NOT YET IDENTIFIED (title known)","Startup programme manager; Health industry lead","","","","Cold","6","","Credits; architecture review; speech language support","Reference case","","Apply to start-up programme; then industry lead","","RESEARCHED","10%","","","","Founder","None","Credits/partnership","Legitimate interest (B2B professional role) — TO VALIDATE"
"Amazon Web Services (AWS Activate / Healthcare)","UK/US","Technology","2 Technology","NOT YET IDENTIFIED (title known)","Startup account manager; Healthcare BD","","","","Cold","6","","Credits; solution architect time","Reference","","Apply","","RESEARCHED","10%","","","","Founder","None","Credits","Legitimate interest (B2B professional role) — TO VALIDATE"
"Google Cloud for Startups / Google Health","UK/US","Technology","2 Technology","NOT YET IDENTIFIED (title known)","Startup programme; Health partnerships","","","","Cold","5","","Credits; language support","Case study","","Apply","","RESEARCHED","10%","","","","Founder","None","Credits","Legitimate interest (B2B professional role) — TO VALIDATE"
"Vodafone Business (UK) / Vodacom (Africa)","UK/Africa","Telecom","6 Strategic","NOT YET IDENTIFIED (title known)","Head of Health, Vodafone Business; Vodacom health lead","","","","Cold","6","","Zero-rated maternity messaging; IoT SIMs for devices","Programme scale","","Email health vertical lead","","RESEARCHED","10%","","","","Founder","None","Commercial","Legitimate interest (B2B professional role) — TO VALIDATE"
"Philips (Netherlands)","Netherlands","Medtech","6 Strategic","NOT YET IDENTIFIED (title known)","Head of Partnerships, Hospital Patient Monitoring / Venture lead","","","","Cold","5","","Interoperability; potential co-development later","Continuity layer for their monitoring","","After UK evidence; via Philips Ventures","","RESEARCHED","10%","","","","Founder","None","Strategic (year 3)","Legitimate interest (B2B professional role) — TO VALIDATE"
"Erasmus MC (Rotterdam) — Obstetrics","Netherlands","Academic hospital","3 Clinical","NOT YET IDENTIFIED (title known)","Head of Obstetrics research","","","","Cold","4","","EU evaluation partner (year 3)","Data; evaluation","","Later","","RESEARCHED","10%","","","","Founder","None","Research","Legitimate interest (B2B professional role) — TO VALIDATE"
"Karolinska Institutet (Stockholm)","Sweden","University","4 Data","NOT YET IDENTIFIED (title known)","Professor of Obstetrics/Epidemiology","","","","Cold","4","","Methods; Nordic entry","Data collaboration","","Later","","RESEARCHED","10%","","","","Founder","None","Research","Legitimate interest (B2B professional role) — TO VALIDATE"
"Nina Capital","Spain","Health-tech VC","7 Funding","NOT YET IDENTIFIED (title known)","Managing Partner / GP","","","","Cold","7","","Investment conversation (seed)","Deal","","Via warm intro after LOI","","RESEARCHED","10%","","","","Founder","None","Investment","Legitimate interest (B2B professional role) — TO VALIDATE"
"Heal Capital","Germany","Digital-health VC","7 Funding","NOT YET IDENTIFIED (title known)","Partner","","","","Cold","5","","Seed conversation","Deal","","Warm intro","","RESEARCHED","10%","","","","Founder","None","Investment","Legitimate interest (B2B professional role) — TO VALIDATE"
"EIT Health","EU","Innovation network","7 Funding","NOT YET IDENTIFIED (title known)","Programme manager UK/Ireland","","","","Cold","4","","Programme participation","Case","","Apply if eligible","","RESEARCHED","10%","","","","Founder","None","Programme","Legitimate interest (B2B professional role) — TO VALIDATE"
"March of Dimes","US","Foundation / NGO","6 Strategic","NOT YET IDENTIFIED (title known)","Chief Innovation Officer / Innovation Fund lead","","","","Cold","4","","US partner conversations (year 3)","Evidence; platform","","Later","","RESEARCHED","10%","","","","Founder","None","Strategic","Legitimate interest (B2B professional role) — TO VALIDATE"
"Babyscripts","US","Competitor / benchmark","5 Commercial","NOT YET IDENTIFIED (title known)","CEO / Head of Partnerships","","","","Cold","4","","Benchmark; possible UK/Africa partnership","Non-US markets","","Later, from strength","","RESEARCHED","10%","","","","Founder","None","Benchmark → partnership","Legitimate interest (B2B professional role) — TO VALIDATE"
"Mayo Clinic Platform","US","Health system platform","6 Strategic","NOT YET IDENTIFIED (title known)","Platform partnerships lead","","","","Cold","3","","Validation programme (year 3)","Data model","","Later","","RESEARCHED","10%","","","","Founder","None","Strategic","Legitimate interest (B2B professional role) — TO VALIDATE"
"Rock Health","US","Fund / research","7 Funding","NOT YET IDENTIFIED (title known)","Partner","","","","Cold","4","","Seed conversation (US expansion)","Deal","","Later","","RESEARCHED","10%","","","","Founder","None","Investment","Legitimate interest (B2B professional role) — TO VALIDATE"
"Maven Clinic","US","Virtual women's health","5 Commercial","NOT YET IDENTIFIED (title known)","Head of Partnerships / International","","","","Cold","3","","Partnership for continuity in non-US markets","Platform","","Later","","RESEARCHED","10%","","","","Founder","None","Commercial","Legitimate interest (B2B professional role) — TO VALIDATE"
"mDoc Healthcare (Nigeria)","Nigeria","Digital-health company (incumbent in Ekiti/Lagos)","5 Commercial","NOT YET IDENTIFIED (title known)","Founder & CEO; Head of Partnerships","","","","Cold","8","","Complementarity partnership: continuity record and facility-side coordination beneath their programme","Interoperability; facility workflow; evidence","","Founder-to-founder email proposing complementarity, not competition","","RESEARCHED","10%","","","","Founder","None","MoU / partnership","Legitimate interest (B2B professional role) — TO VALIDATE"
"Society for Family Health (Nigeria)","Nigeria","NGO implementer","1 Foundational","NOT YET IDENTIFIED (title known)","Managing Director; Director of Programmes (RMNCH)","","","","Cold","8","","Cohort of 500–2,000 women; community health workers","Free platform; training; evaluation","","Email programme director","","RESEARCHED","10%","","","","Founder","None","MoU + evaluation","Legitimate interest (B2B professional role) — TO VALIDATE"
"Jhpiego (Nigeria/Global)","Nigeria/US","NGO implementer","1 Foundational","NOT YET IDENTIFIED (title known)","Country Director Nigeria; Director of Digital Health","","","","Cold","8","","Technology-partner role in a funded programme","Continuity layer; evaluation","","Email country office","","RESEARCHED","10%","","","","Founder","None","MoU / sub-contract","Legitimate interest (B2B professional role) — TO VALIDATE"
"Lagos State Ministry of Health / Lagos State PHC Board","Nigeria","State government","5 Commercial","NOT YET IDENTIFIED (title known)","Commissioner for Health; Permanent Secretary; PHC Board ES","","","","Cold","6","","Complementarity pilot with an implementer","Continuity record; equity data","","Via implementer, never cold","","RESEARCHED","10%","","","","Founder","None","MoU","Legitimate interest (B2B professional role) — TO VALIDATE"
"Ekiti State Ministry of Health","Nigeria","State government","5 Commercial","NOT YET IDENTIFIED (title known)","Commissioner for Health; Programme Manager for maternal health","","","","Cold","6","","Re-scoped complementarity pilot","Phased evidence pilot","","Reply with the re-scoped proposal","","RESEARCHED","10%","","","See FACTS_BASE","Founder","None","MoU","Legitimate interest (B2B professional role) — TO VALIDATE"
"NPHCDA (National Primary Health Care Development Agency)","Nigeria","National agency","6 Strategic","NOT YET IDENTIFIED (title known)","Director of Community Health Services; Digital Health lead","","","","Cold","5","","Awareness; alignment","Continuity layer for PHCs","","Via implementer","","RESEARCHED","10%","","","","Founder","None","Engagement","Legitimate interest (B2B professional role) — TO VALIDATE"
"SOGON (Society of Gynaecology and Obstetrics of Nigeria)","Nigeria","Professional body","3 Clinical","NOT YET IDENTIFIED (title known)","President; Secretary General","","","","Cold","6","","Clinical review; champions","Alignment","","Email; conference","","RESEARCHED","10%","","","","Founder","None","Engagement","Legitimate interest (B2B professional role) — TO VALIDATE"
"MTN Nigeria","Nigeria","Telecom","6 Strategic","NOT YET IDENTIFIED (title known)","Head of Digital Services / CSR (MTN Foundation)","","","","Cold","6","","Zero-rated messaging; USSD short code","Programme scale; CSR","","Email foundation and digital services","","RESEARCHED","10%","","","","Founder","None","Commercial/CSR","Legitimate interest (B2B professional role) — TO VALIDATE"
"Airtel Africa","Nigeria/pan-Africa","Telecom","6 Strategic","NOT YET IDENTIFIED (title known)","Head of Mobile Health / Partnerships","","","","Cold","5","","Messaging; USSD","Scale","","Email","","RESEARCHED","10%","","","","Founder","None","Commercial","Legitimate interest (B2B professional role) — TO VALIDATE"
"Safaricom (Kenya)","Kenya","Telecom","6 Strategic","NOT YET IDENTIFIED (title known)","Head of Health, Safaricom / M-PESA partnerships","","","","Cold","5","","Messaging; payments; distribution","Kenya programme","","Later","","RESEARCHED","10%","","","","Founder","None","Commercial","Legitimate interest (B2B professional role) — TO VALIDATE"
"Jacaranda Health (Kenya)","Kenya","NGO / digital maternal health","5 Commercial","NOT YET IDENTIFIED (title known)","CEO; Director of Technology","","","","Cold","5","","Learning exchange; possible interoperability","Continuity record for facility side","","Founder email","","RESEARCHED","10%","","","","Founder","None","Partnership","Legitimate interest (B2B professional role) — TO VALIDATE"
"Praekelt.org (MomConnect, South Africa)","South Africa","NGO / digital health","5 Commercial","NOT YET IDENTIFIED (title known)","CEO; Head of Health","","","","Cold","4","","Learning; interoperability","Record layer","","Email","","RESEARCHED","10%","","","","Founder","None","Partnership","Legitimate interest (B2B professional role) — TO VALIDATE"
"PATH","Global","Global health NGO","6 Strategic","NOT YET IDENTIFIED (title known)","Director of Digital Health / Country Director Nigeria","","","","Cold","5","","Digital-health advisory; programme partnership","Evidence","","Email","","RESEARCHED","10%","","","","Founder","None","Partnership","Legitimate interest (B2B professional role) — TO VALIDATE"
"UNICEF Nigeria (Health) / UNICEF Innovation","Nigeria/Global","UN agency","6 Strategic","NOT YET IDENTIFIED (title known)","Chief of Health; Innovation Fund manager","","","","Cold","5","","Programme alignment; innovation fund application","Continuity tools","","Apply; programme contact via implementer","","RESEARCHED","10%","","","","Founder","None","Programme/funding","Legitimate interest (B2B professional role) — TO VALIDATE"
"Bill & Melinda Gates Foundation (Maternal, Newborn & Child Health)","US/Global","Foundation","7 Funding","NOT YET IDENTIFIED (title known)","Program Officer, MNCH / Digital Health","","","","Cold","6","","Grant for low-resource validation (via partner)","Evidence; cohort","","Via implementer or Grand Challenges routes","","RESEARCHED","10%","","","","Founder","None","Grant (via implementer)","Legitimate interest (B2B professional role) — TO VALIDATE"
"MSD for Mothers","US/Global","Corporate initiative","7 Funding","NOT YET IDENTIFIED (title known)","Director, MSD for Mothers (UK/Africa lead)","","","","Cold","7","","Programme funding; introductions","Continuity layer for funded programmes","","Email with complementarity to mDoc","","RESEARCHED","10%","","","","Founder","None","Grant/programme","Legitimate interest (B2B professional role) — TO VALIDATE"
"Grand Challenges Canada","Canada/Global","Funder","7 Funding","NOT YET IDENTIFIED (title known)","Program lead, Global Health","","","","Cold","7","","Application when call opens","Evidence plan","","Apply","","RESEARCHED","10%","","","","Founder","None","Grant","Legitimate interest (B2B professional role) — TO VALIDATE"
"Fondation Botnar","Switzerland","Foundation","7 Funding","NOT YET IDENTIFIED (title known)","Programme Manager","","","","Cold","5","","Programme funding","Evidence","","Apply","","RESEARCHED","10%","","","","Founder","None","Grant","Legitimate interest (B2B professional role) — TO VALIDATE"
"Children's Investment Fund Foundation (CIFF)","UK/Global","Foundation","7 Funding","NOT YET IDENTIFIED (title known)","Director, Maternal & Child Health","","","","Cold","4","","Programme funding via partners","Evidence","","Via implementer","","RESEARCHED","10%","","","","Founder","None","Grant (via partner)","Legitimate interest (B2B professional role) — TO VALIDATE"
"Roche Diagnostics (UK / Global)","UK/Switzerland","Diagnostics","6 Strategic","NOT YET IDENTIFIED (title known)","Medical Affairs Lead, Women's Health; Head of Market Access UK","","","","Cold","7","","Pathway alignment; later co-development of a home-monitoring-to-test pathway","Pathway data; adherence","","Medical affairs email after first LOI","","RESEARCHED","10%","","","","Founder","None","Co-development (year 2)","Legitimate interest (B2B professional role) — TO VALIDATE"
"Ferring Pharmaceuticals","Switzerland/UK","Pharma","6 Strategic","NOT YET IDENTIFIED (title known)","Medical Affairs, Women's Health","","","","Cold","4","","Programme partnership (postpartum)","RWE","","Later","","RESEARCHED","10%","","","","Founder","None","Strategic (year 2–3)","Legitimate interest (B2B professional role) — TO VALIDATE"
"Organon","US/UK","Pharma (women's health)","6 Strategic","NOT YET IDENTIFIED (title known)","Head of Medical Affairs UK; Partnerships","","","","Cold","4","","Postpartum programme; RWE","Cohort access under governance","","Later","","RESEARCHED","10%","","","","Founder","None","Strategic (year 2–3)","Legitimate interest (B2B professional role) — TO VALIDATE"
