"week","date","channel","title","pillar","format","cta","owner","status"
"4","2026-10-09","Website / Insights","A1: ""DTAC without the panic","Long-form / authority","Article, report, webinar or newsletter","Subscribe / register / read","Founder","Planned"
"4","2026-10-09","Email newsletter","Vytalix Notes — issue 1","Newsletter","Email","Reply / forward","Founder","Planned"
"5","2026-10-13","LinkedIn","Ekiti already has a digital maternal programme. That's good news, if you design for it."" (cited: Nigeria Health Watch)","Insight / healthcare & digital health","Text post (founder voice)","Comment or DM to discuss","Founder","Planned"
"5","2026-10-14","LinkedIn","Interviewing 20 people for our first report: what surprised me in the first 10","Build-in-public / company","Text post","Follow the company page","Founder","Planned"
"5","2026-10-15","LinkedIn","Hazard log starter: 9 hazards every maternity communication tool must consider","Practical / templates","Post or carousel","Download template / reply for copy","Founder","Planned"
"5","2026-10-16","Webinar / event","Webinar 1 announced","Long-form / authority","Article, report, webinar or newsletter","Subscribe / register / read","Founder","Planned"
"6","2026-10-20","LinkedIn","Is your app a medical device? The one question that decides it (UK)","Insight / healthcare & digital health","Text post (founder voice)","Comment or DM to discuss","Founder","Planned"
"6","2026-10-21","LinkedIn","Why our v1 will display data and not interpret it","Build-in-public / company","Text post","Follow the company page","Founder","Planned"
"6","2026-10-22","LinkedIn","Grant calendar for maternal health-tech, Q1 2027 (TO VALIDATE dates)","Practical / templates","Post or carousel","Download template / reply for copy","Founder","Planned"
"6","2026-10-23","Website / Insights","A2: ""Intended use is a product decision","Long-form / authority","Article, report, webinar or newsletter","Subscribe / register / read","Founder","Planned"
"6","2026-10-23","Email newsletter","Vytalix Notes — issue 2","Newsletter","Email","Reply / forward","Founder","Planned"
"7","2026-10-27","LinkedIn","Black maternal health in the UK: the numbers, the sources, the caveats"" (MBRRACE-UK cited)","Insight / healthcare & digital health","Text post (founder voice)","Comment or DM to discuss","Founder","Planned"
"7","2026-10-28","LinkedIn","The IP conversation every founder with a collaborator must have early","Build-in-public / company","Text post","Follow the company page","Founder","Planned"
"7","2026-10-29","LinkedIn","How to run a 30-minute discovery call that respects a midwife's time","Practical / templates","Post or carousel","Download template / reply for copy","Founder","Planned"
"7","2026-10-30","Website / Insights","Report drafting","Long-form / authority","Article, report, webinar or newsletter","Subscribe / register / read","Founder","Planned"
"7","2026-10-26","Video","Explainer: intended use and why v1 displays data, not interprets it","Video / education","Short video","Watch / share","Founder","Planned"
"8","2026-11-03","LinkedIn","Care coordination is not care. Why the distinction matters for safety.","Insight / healthcare & digital health","Text post (founder voice)","Comment or DM to discuss","Founder","Planned"
"8","2026-11-04","LinkedIn","Report 1 is in design. Three findings I'm nervous to publish.","Build-in-public / company","Text post","Follow the company page","Founder","Planned"
"8","2026-11-05","LinkedIn","Handover summary template (antenatal → intrapartum)","Practical / templates","Post or carousel","Download template / reply for copy","Founder","Planned"
"8","2026-11-06","Email newsletter","Newsletter 3","Long-form / authority","Article, report, webinar or newsletter","Subscribe / register / read","Founder","Planned"
"8","2026-11-06","Email newsletter","Vytalix Notes — issue 3","Newsletter","Email","Reply / forward","Founder","Planned"
"9","2026-11-10","LinkedIn","Report launch: The State of Digital Maternal Care Coordination — UK and Nigeria","Insight / healthcare & digital health","Text post (founder voice)","Comment or DM to discuss","Founder","Planned"
"9","2026-11-11","LinkedIn","What 20 interviews told us about who actually owns the communication problem","Build-in-public / company","Text post","Follow the company page","Founder","Planned"
"9","2026-11-12","LinkedIn","Ten things buyers of maternity digital tools should ask vendors"" (carousel)","Practical / templates","Post or carousel","Download template / reply for copy","Founder","Planned"
"9","2026-11-13","Website / Insights","Report 1 live","Long-form / authority","Article, report, webinar or newsletter","Subscribe / register / read","Founder","Planned"
"10","2026-11-17","LinkedIn","Webinar today: designing maternity communication tools that don't become medical devices by accident","Insight / healthcare & digital health","Text post (founder voice)","Comment or DM to discuss","Founder","Planned"
"10","2026-11-18","LinkedIn","What I got wrong in the first 60 days","Build-in-public / company","Text post","Follow the company page","Founder","Planned"
"10","2026-11-19","LinkedIn","Webinar recording + slide pack","Practical / templates","Post or carousel","Download template / reply for copy","Founder","Planned"
"10","2026-11-20","Webinar / event","Webinar 1","Long-form / authority","Article, report, webinar or newsletter","Subscribe / register / read","Founder","Planned"
"10","2026-11-20","Email newsletter","Vytalix Notes — issue 4","Newsletter","Email","Reply / forward","Founder","Planned"
"10","2026-11-16","Video","Webinar clips (5 × 60s)","Video / education","Short video","Watch / share","Founder","Planned"
"11","2026-11-24","LinkedIn","Interoperability with what's already there: designing for DHIS2 and incumbent platforms in Nigeria","Insight / healthcare & digital health","Text post (founder voice)","Comment or DM to discuss","Founder","Planned"
"11","2026-11-25","LinkedIn","We're looking for midwives and obstetricians to co-design MaternaLink (in development) — here's what it involves and what it doesn't","Build-in-public / company","Text post","Follow the company page","Founder","Planned"
"11","2026-11-26","LinkedIn","Clinical advisory group terms of reference (template)","Practical / templates","Post or carousel","Download template / reply for copy","Founder","Planned"
"11","2026-11-27","Website / Insights","A3","Long-form / authority","Article, report, webinar or newsletter","Subscribe / register / read","Founder","Planned"
"12","2026-12-01","LinkedIn","Selling to the NHS in 2027: the routes that actually work for a small vendor","Insight / healthcare & digital health","Text post (founder voice)","Comment or DM to discuss","Founder","Planned"
"12","2026-12-02","LinkedIn","90 days in: the scorecard, honestly","Build-in-public / company","Text post","Follow the company page","Founder","Planned"
"12","2026-12-03","LinkedIn","Our decision-scoring framework (10 criteria) — free template","Practical / templates","Post or carousel","Download template / reply for copy","Founder","Planned"
"12","2026-12-04","Email newsletter","Newsletter 5; Q1 plan","Long-form / authority","Article, report, webinar or newsletter","Subscribe / register / read","Founder","Planned"
"12","2026-12-04","Email newsletter","Vytalix Notes — issue 5","Newsletter","Email","Reply / forward","Founder","Planned"
